Trip_ID,Travel_Date,Year,Month,Season,Origin_Country,Destination_Country,Traveler_Age_Group,Traveler_Gender,Group_Type,Group_Size,Travel_Purpose,Travel_Mode,Duration_Days,Accommodation_Type,Booking_Channel,Visa_Type,Travel_Insurance,Climate_Preference,Primary_Attraction,Total_Spend_USD,Flight_Cost_USD,Accommodation_Cost_USD,Food_Cost_USD,Activities_Cost_USD,Payment_Method,Advance_Booking_Days,Repeat_Visitor,Used_Travel_App,Rating_Out_Of_5,Satisfaction_Level,Would_Recommend,Number_Of_Attractions_Visited,Local_Transport_Used,Sustainable_Tourism_Choice
TRP100014,15-11-2023,2023,11,Autumn,South Korea,New Zealand,45-54,Female,Business Group,2,Adventure,Train,25,Airbnb/Vacation Rental,Travel Agent,Tourist Visa,No,Tropical,Wellness/Spa,13773.29,6068.97,3485.93,1601.29,2617.1,Cryptocurrency,352,No,No,5,Very Satisfied,Yes,6,Yes,No
TRP100015,31-07-2023,2023,7,Summer,Thailand,Morocco,35-44,Female,Couple,7,Educational,Train,22,3-Star Hotel,Tour Operator,Visa Free,No,Desert,Wellness/Spa,2983.83,1133.67,775.99,436.81,637.36,Credit Card,156,Yes,Yes,5,Very Satisfied,Yes,11,Yes,No
TRP100016,26-11-2020,2020,11,Autumn,Brazil,Canada,55-64,Female,Business Group,6,Cultural,Flight,5,Airbnb/Vacation Rental,Mobile App,E-Visa,Yes,Mediterranean,Wildlife/Safari,3519.07,1120.11,1338.08,772.1,288.78,Credit Card,24,Yes,Yes,3,Neutral,No,2,Yes,No
TRP100017,23-01-2019,2019,1,Winter,Norway,Mexico,18-24,Female,Couple,3,Cultural,Ferry,9,Camping,Online Travel Agency,Visa Free,Yes,Tropical,Theme Parks,5647.68,1827.56,1405.13,1120.55,1294.44,Debit Card,238,No,No,2,Dissatisfied,No,13,No,No
TRP100018,18-01-2024,2024,1,Winter,Australia,Singapore,65+,Male,Business Group,8,Religious,Cruise,25,Hostel,Airline Website,Tourist Visa,No,Mediterranean,Cities/Urban,7938,2472.52,1840.28,1819.58,1805.62,Cash,164,No,Yes,5,Very Satisfied,Yes,7,Yes,No
TRP100019,17-09-2023,2023,9,Autumn,Norway,Italy,55-64,Female,Solo,10,Religious,Train,4,Camping,Online Travel Agency,E-Visa,No,Desert,Art & Museums,1301.4,367.93,381.55,142.29,409.63,Cryptocurrency,280,No,No,4,Satisfied,Yes,5,Yes,Yes
TRP100020,27-12-2024,2024,12,Winter,Spain,Morocco,55-64,Female,Solo,2,Religious,Train,23,3-Star Hotel,Airline Website,Business Visa,Yes,Arctic/Cold,Art & Museums,3632.16,1489.64,1394.42,897.54,-149.44,Cash,109,No,Yes,5,Very Satisfied,No,5,No,No
TRP100021,04-12-2022,2022,12,Winter,Germany,New Zealand,65+,Male,Solo,4,Business,Cruise,22,5-Star Hotel,Tour Operator,Business Visa,Yes,Mediterranean,Theme Parks,10216.93,2092.9,3145.63,2554.09,2424.31,Bank Transfer,59,No,Yes,5,Very Satisfied,Yes,13,Yes,No
TRP100022,01-07-2022,2022,7,Summer,Spain,Singapore,45-54,Female,Couple,2,Business,Ferry,3,Airbnb/Vacation Rental,Online Travel Agency,E-Visa,Yes,Temperate,Beaches,406.16,179.19,90.01,42.18,94.78,Cash,273,No,Yes,4,Satisfied,Yes,6,Yes,No
TRP100023,18-09-2020,2020,9,Autumn,Sweden,Croatia,55-64,Female,Family,10,Business,Ferry,25,Camping,Airline Website,Visa on Arrival,No,Arctic/Cold,Mountains/Trekking,12918.75,5686.79,4225.94,2897.75,108.27,Credit Card,143,No,Yes,4,Satisfied,Yes,10,Yes,Yes
TRP100024,19-02-2022,2022,2,Winter,Thailand,Croatia,35-44,Female,Business Group,4,Educational,Flight,13,Airbnb/Vacation Rental,Mobile App,Visa on Arrival,No,Temperate,Mountains/Trekking,3673.35,1182.41,995.35,509.69,985.9,Bank Transfer,244,No,Yes,2,Dissatisfied,No,2,Yes,No
TRP100025,16-09-2022,2022,9,Autumn,Netherlands,Switzerland,35-44,Male,Couple,2,Medical,Cruise,7,Resort,Online Travel Agency,Visa Free,Yes,Mediterranean,Mountains/Trekking,1930.94,564.33,599.93,292.66,474.02,Bank Transfer,248,Yes,Yes,4,Satisfied,No,10,Yes,Yes
TRP100026,02-06-2020,2020,6,Summer,China,Greece,55-64,Male,Couple,11,Medical,Train,3,4-Star Hotel,Online Travel Agency,Visa Free,No,Desert,Theme Parks,1398.29,405.81,364.19,288.33,339.96,Travel Card,175,Yes,Yes,5,Very Satisfied,No,8,Yes,Yes
TRP100027,29-05-2022,2022,5,Spring,Australia,Croatia,18-24,Female,Friends Group,10,Business,Ferry,29,Airbnb/Vacation Rental,Tour Operator,Visa on Arrival,No,Desert,Cities/Urban,18858.99,6739.48,3974,2307.96,5837.55,Cryptocurrency,220,No,Yes,5,Very Satisfied,Yes,12,Yes,No
TRP100028,04-11-2019,2019,11,Autumn,Mexico,Australia,45-54,Female,Friends Group,5,Cultural,Flight,22,Airbnb/Vacation Rental,Travel Agent,E-Visa,No,Tropical,Mountains/Trekking,10497.55,3832.73,2429.25,1323.45,2912.12,Cash,321,No,No,5,Very Satisfied,Yes,2,Yes,No
TRP100029,28-03-2022,2022,3,Spring,Netherlands,New Zealand,65+,Male,Friends Group,5,Adventure,Ferry,2,Camping,Airline Website,Tourist Visa,Yes,Desert,Food & Cuisine,303.22,65.16,108.71,57.39,71.96,Cryptocurrency,129,Yes,Yes,4,Satisfied,No,14,Yes,No
TRP100030,17-12-2023,2023,12,Winter,India,Czech Republic,55-64,Male,Friends Group,2,Medical,Train,13,Resort,Airline Website,E-Visa,No,Mountainous,Historical Sites,12800.54,2688.85,4496.24,2183.45,3432,Debit Card,169,No,Yes,2,Dissatisfied,No,7,No,No
TRP100031,08-10-2024,2024,10,Autumn,United States,Portugal,65+,Female,Friends Group,7,Business,Flight,27,Airbnb/Vacation Rental,Tour Operator,E-Visa,No,Mountainous,Theme Parks,12413.83,3266.08,2770.57,2679.92,3697.26,Credit Card,105,Yes,Yes,3,Neutral,Yes,15,Yes,Yes
TRP100032,09-07-2021,2021,7,Summer,United Kingdom,Australia,45-54,Female,Senior Group,3,Cultural,Train,23,Hostel,Tour Operator,E-Visa,No,Desert,Theme Parks,7958.92,2210.09,1613.55,1282.97,2852.31,Debit Card,234,No,Yes,1,Very Dissatisfied,No,9,Yes,Yes
TRP100033,11-01-2019,2019,1,Winter,Brazil,Italy,55-64,Female,Senior Group,8,Medical,Cruise,30,Camping,Tour Operator,Visa on Arrival,No,Arctic/Cold,Wellness/Spa,9895.5,2819.91,3538.07,1386.12,2151.4,Cryptocurrency,194,No,Yes,5,Very Satisfied,Yes,12,Yes,Yes
TRP100034,11-04-2023,2023,4,Spring,Indonesia,Czech Republic,65+,Non-Binary,Friends Group,1,Religious,Cruise,13,Resort,Online Travel Agency,Visa on Arrival,Yes,Temperate,Theme Parks,3034.53,848.28,893.96,719.23,573.06,Credit Card,74,No,No,4,Satisfied,Yes,8,No,Yes
TRP100035,06-04-2023,2023,4,Spring,Turkey,Turkey,65+,Female,Friends Group,9,Religious,Flight,26,4-Star Hotel,Direct Hotel,E-Visa,Yes,Mountainous,Historical Sites,1568.47,647.69,581.07,359.02,-19.31,Travel Card,51,No,No,1,Very Dissatisfied,Yes,3,Yes,No
TRP100036,15-12-2024,2024,12,Winter,Indonesia,Spain,25-34,Male,Solo,10,Educational,Train,18,Airbnb/Vacation Rental,Airline Website,Visa Free,Yes,Mediterranean,Theme Parks,1031.01,281.82,283.49,125.61,340.09,Bank Transfer,131,No,No,4,Satisfied,No,8,No,No
TRP100037,04-10-2023,2023,10,Autumn,Netherlands,Japan,35-44,Male,Friends Group,8,Business,Flight,28,Airbnb/Vacation Rental,Airline Website,Visa Free,No,Temperate,Cities/Urban,17086.6,7455.04,6792.44,2475.39,363.73,Bank Transfer,152,Yes,No,3,Neutral,Yes,1,Yes,No
TRP100038,31-07-2021,2021,7,Summer,Italy,Singapore,25-34,Female,Business Group,5,Leisure,Cruise,28,4-Star Hotel,Mobile App,Tourist Visa,No,Desert,Beaches,9664.92,3733.49,3542.85,2275.51,113.07,Cryptocurrency,187,No,Yes,4,Satisfied,Yes,12,Yes,Yes
TRP100039,27-05-2024,2024,5,Spring,Brazil,Vietnam,65+,Female,Solo,8,Educational,Flight,11,3-Star Hotel,Direct Hotel,Visa on Arrival,No,Tropical,Art & Museums,7059.36,2297.46,1796.65,880.17,2085.08,Credit Card,136,No,Yes,1,Very Dissatisfied,No,11,Yes,Yes
TRP100040,05-09-2022,2022,9,Autumn,Australia,Australia,65+,Male,Friends Group,12,Educational,Road Trip,29,Boutique Hotel,Online Travel Agency,Business Visa,Yes,Tropical,Cities/Urban,8243.17,3039.33,2425.93,1590.37,1187.54,Travel Card,60,Yes,No,2,Dissatisfied,Yes,8,Yes,No
TRP100041,10-02-2020,2020,2,Winter,South Africa,UAE (Dubai),45-54,Female,Family,1,Religious,Road Trip,29,Airbnb/Vacation Rental,Airline Website,Visa on Arrival,Yes,Arctic/Cold,Historical Sites,14201.3,5475.56,3279.15,2303.91,3142.68,Bank Transfer,189,No,No,3,Neutral,Yes,7,Yes,No
TRP100042,28-09-2022,2022,9,Autumn,France,Portugal,55-64,Male,Business Group,4,Business,Ferry,17,Airbnb/Vacation Rental,Direct Hotel,E-Visa,Yes,Temperate,Beaches,5980.11,2155.39,1910.22,617.17,1297.33,Cash,75,No,Yes,5,Very Satisfied,Yes,2,Yes,Yes
TRP100043,03-06-2020,2020,6,Summer,UAE,France,18-24,Female,Friends Group,8,Educational,Road Trip,16,4-Star Hotel,Airline Website,Visa Free,Yes,Temperate,Beaches,5997.07,2082.26,1218.34,838.42,1858.05,Bank Transfer,338,No,Yes,3,Neutral,No,1,No,No
TRP100044,12-08-2022,2022,8,Summer,Germany,Indonesia (Bali),25-34,Male,Senior Group,10,Business,Ferry,16,Resort,Airline Website,Visa Free,No,Desert,Wellness/Spa,5159.31,1950.74,1489.56,1211.87,507.14,Cryptocurrency,221,Yes,No,4,Satisfied,No,11,No,No
TRP100045,22-06-2023,2023,6,Summer,United Kingdom,Greece,35-44,Male,Senior Group,5,Religious,Road Trip,20,3-Star Hotel,Mobile App,Visa on Arrival,Yes,Tropical,Historical Sites,15302.06,6457.82,4326.85,3429.39,1088,Credit Card,222,Yes,No,4,Satisfied,No,9,Yes,No
TRP100046,29-09-2023,2023,9,Autumn,Sweden,Vietnam,18-24,Female,Business Group,5,Educational,Road Trip,13,4-Star Hotel,Tour Operator,Visa Free,Yes,Mediterranean,Theme Parks,3120,944.43,1169.13,752.45,253.99,Debit Card,56,No,Yes,2,Dissatisfied,Yes,5,Yes,No
TRP100047,08-01-2021,2021,1,Winter,Norway,Vietnam,35-44,Female,Family,1,Leisure,Cruise,24,3-Star Hotel,Tour Operator,Visa on Arrival,Yes,Mediterranean,Beaches,17245.44,7454.7,6309.97,2416.38,1064.39,Credit Card,272,Yes,Yes,5,Very Satisfied,Yes,6,Yes,Yes
TRP100048,01-12-2019,2019,12,Winter,Indonesia,Mexico,45-54,Female,Friends Group,7,Business,Road Trip,21,Airbnb/Vacation Rental,Tour Operator,Tourist Visa,No,Desert,Historical Sites,4547.4,1086.35,1595.62,488.68,1376.75,Cash,348,No,Yes,5,Very Satisfied,Yes,1,Yes,No
TRP100049,12-11-2021,2021,11,Autumn,United Kingdom,Spain,18-24,Female,Friends Group,3,Leisure,Cruise,26,Boutique Hotel,Tour Operator,Business Visa,No,Tropical,Art & Museums,2731.3,752.08,661.65,329.35,988.22,Bank Transfer,22,No,Yes,5,Very Satisfied,Yes,6,Yes,No
TRP100050,28-02-2024,2024,2,Winter,Italy,UAE (Dubai),18-24,Male,Solo,4,Religious,Train,4,Boutique Hotel,Tour Operator,Tourist Visa,No,Arctic/Cold,Food & Cuisine,1136.17,259.95,231.97,168.97,475.28,Debit Card,171,No,Yes,3,Neutral,No,9,Yes,No
TRP100051,18-09-2020,2020,9,Autumn,Turkey,Peru,18-24,Male,Senior Group,8,Educational,Train,6,Camping,Mobile App,Visa Free,No,Mountainous,Food & Cuisine,1428.89,370.18,327.63,185.17,545.91,Debit Card,226,Yes,Yes,3,Neutral,Yes,5,Yes,Yes
TRP100052,11-11-2019,2019,11,Autumn,Germany,Italy,55-64,Female,Friends Group,8,Medical,Ferry,20,5-Star Hotel,Airline Website,Visa Free,Yes,Arctic/Cold,Theme Parks,7173,2244.99,1516.21,1612.16,1799.64,Cryptocurrency,78,No,Yes,4,Satisfied,No,14,Yes,No
TRP100053,11-11-2024,2024,11,Autumn,Italy,Egypt,35-44,Female,Friends Group,7,Adventure,Road Trip,8,5-Star Hotel,Mobile App,E-Visa,Yes,Arctic/Cold,Historical Sites,709.03,185.72,203.88,117.64,201.79,Cryptocurrency,348,No,Yes,4,Satisfied,No,15,Yes,Yes
TRP100054,12-06-2020,2020,6,Summer,Germany,Italy,35-44,Female,Senior Group,6,Adventure,Cruise,22,4-Star Hotel,Mobile App,Visa on Arrival,No,Tropical,Food & Cuisine,6375.6,1769.6,2111.67,1270.79,1223.54,Cash,93,No,Yes,4,Satisfied,No,4,Yes,Yes
TRP100055,26-11-2024,2024,11,Autumn,South Korea,Italy,55-64,Male,Friends Group,3,Medical,Cruise,10,3-Star Hotel,Mobile App,Visa Free,Yes,Mountainous,Theme Parks,1371,448.21,422.21,289,211.58,Credit Card,211,No,No,5,Very Satisfied,No,10,Yes,No
TRP100056,05-03-2021,2021,3,Spring,Argentina,Portugal,45-54,Male,Family,7,Cultural,Ferry,8,Boutique Hotel,Direct Hotel,Business Visa,Yes,Arctic/Cold,Beaches,5527.54,1436.01,2172.98,1203.1,715.45,Bank Transfer,247,No,Yes,4,Satisfied,Yes,14,Yes,Yes
TRP100057,11-01-2020,2020,1,Winter,Australia,Italy,45-54,Female,Solo,7,Adventure,Flight,19,Boutique Hotel,Tour Operator,E-Visa,Yes,Desert,Historical Sites,4608.45,1439.36,1394.84,1035.32,738.93,Cash,115,Yes,No,2,Dissatisfied,No,11,Yes,Yes
TRP100058,12-01-2024,2024,1,Winter,Germany,Spain,18-24,Male,Couple,9,Medical,Ferry,5,Boutique Hotel,Online Travel Agency,E-Visa,Yes,Arctic/Cold,Historical Sites,956.61,357.79,217.88,196.9,184.04,Credit Card,123,No,No,4,Satisfied,Yes,2,No,No
TRP100059,07-01-2019,2019,1,Winter,Australia,Vietnam,55-64,Male,Senior Group,11,Leisure,Flight,26,Resort,Online Travel Agency,Visa Free,Yes,Desert,Theme Parks,16286.4,5598.64,5597.78,2340.21,2749.77,Credit Card,326,No,Yes,4,Satisfied,No,6,No,Yes
TRP100060,18-10-2022,2022,10,Autumn,India,Singapore,65+,Male,Senior Group,8,Business,Cruise,29,3-Star Hotel,Online Travel Agency,Visa on Arrival,Yes,Arctic/Cold,Mountains/Trekking,9674.52,3713.05,2578.3,1031.79,2351.38,Credit Card,103,No,Yes,3,Neutral,Yes,7,No,No
TRP100061,21-09-2022,2022,9,Autumn,Italy,New Zealand,45-54,Female,Senior Group,8,Leisure,Train,15,Resort,Direct Hotel,Visa on Arrival,No,Arctic/Cold,Wellness/Spa,3681.17,999.54,1370.97,394.51,916.15,Cash,43,No,Yes,5,Very Satisfied,Yes,14,Yes,Yes
TRP100062,12-10-2023,2023,10,Autumn,Netherlands,Thailand,35-44,Male,Senior Group,6,Business,Ferry,19,Boutique Hotel,Travel Agent,Tourist Visa,Yes,Mountainous,Art & Museums,4752.31,1735.69,1241.77,904.81,870.04,Cash,263,No,No,5,Very Satisfied,No,3,No,No
TRP100063,18-04-2023,2023,4,Spring,China,Portugal,55-64,Male,Friends Group,6,Leisure,Road Trip,27,Camping,Online Travel Agency,Visa Free,Yes,Temperate,Food & Cuisine,7060.89,1530.86,2511.58,1094.08,1924.37,Travel Card,161,No,Yes,2,Dissatisfied,Yes,12,Yes,No
TRP100064,15-03-2022,2022,3,Spring,Russia,Vietnam,25-34,Male,Solo,8,Business,Cruise,10,Camping,Online Travel Agency,E-Visa,No,Mountainous,Historical Sites,3772.8,1485.51,1285.8,498.71,502.78,Cryptocurrency,278,Yes,Yes,3,Neutral,Yes,12,No,No
TRP100065,16-07-2024,2024,7,Summer,Saudi Arabia,Peru,55-64,Male,Business Group,3,Cultural,Ferry,27,4-Star Hotel,Online Travel Agency,E-Visa,No,Mountainous,Theme Parks,5806.81,2591.48,2081.24,786.88,347.21,Cryptocurrency,211,No,No,5,Very Satisfied,Yes,6,Yes,No
TRP100066,15-01-2021,2021,1,Winter,France,Canada,45-54,Female,Solo,2,Educational,Ferry,22,3-Star Hotel,Travel Agent,Business Visa,Yes,Arctic/Cold,Mountains/Trekking,6120.71,2567.58,2179.29,1199.47,174.37,Cash,266,No,No,3,Neutral,Yes,11,No,Yes
TRP100067,23-09-2020,2020,9,Autumn,South Africa,Australia,65+,Female,Family,10,Medical,Flight,3,5-Star Hotel,Online Travel Agency,Tourist Visa,No,Mountainous,Mountains/Trekking,2428.01,542.31,796.87,458.34,630.49,Cryptocurrency,214,No,Yes,5,Very Satisfied,No,9,Yes,No
TRP100068,06-12-2023,2023,12,Winter,Netherlands,Croatia,25-34,Male,Couple,6,Cultural,Road Trip,21,Resort,Airline Website,Business Visa,No,Temperate,Wellness/Spa,10317.51,2830.7,2214.08,1124.47,4148.26,Credit Card,164,Yes,Yes,4,Satisfied,Yes,3,Yes,Yes
TRP100069,04-07-2022,2022,7,Summer,India,Kenya,45-54,Non-Binary,Friends Group,8,Religious,Road Trip,29,Camping,Online Travel Agency,Tourist Visa,No,Temperate,Theme Parks,3454.31,1522.22,1314.23,766.93,-149.07,Debit Card,111,No,Yes,5,Very Satisfied,Yes,10,No,No
TRP100070,19-12-2021,2021,12,Winter,Norway,Croatia,45-54,Male,Friends Group,1,Medical,Ferry,16,Airbnb/Vacation Rental,Travel Agent,Visa Free,No,Tropical,Art & Museums,9805.3,1981.11,2171.87,1177.52,4474.8,Cryptocurrency,231,No,Yes,3,Neutral,No,11,Yes,Yes
TRP100071,13-08-2020,2020,8,Summer,UAE,Thailand,45-54,Female,Solo,1,Religious,Cruise,29,Resort,Airline Website,Visa Free,No,Mediterranean,Wellness/Spa,7981.63,3182.47,2137.62,1922.31,739.23,Debit Card,168,No,Yes,5,Very Satisfied,Yes,10,Yes,Yes
TRP100072,24-03-2020,2020,3,Spring,Argentina,Morocco,35-44,Female,Senior Group,12,Eco-Tourism,Flight,8,Camping,Travel Agent,Visa Free,Yes,Mountainous,Beaches,3013.37,828.52,1094.3,467.84,622.71,Cryptocurrency,246,Yes,Yes,1,Very Dissatisfied,No,14,Yes,No
TRP100073,08-07-2022,2022,7,Summer,Mexico,Switzerland,65+,Male,Business Group,10,Leisure,Train,13,5-Star Hotel,Mobile App,Business Visa,Yes,Temperate,Food & Cuisine,3539.99,1547.16,785.8,364.05,842.98,Bank Transfer,245,No,Yes,4,Satisfied,Yes,15,Yes,No
TRP100074,07-05-2022,2022,5,Spring,Brazil,Canada,35-44,Female,Senior Group,12,Medical,Train,30,Resort,Airline Website,E-Visa,No,Arctic/Cold,Historical Sites,24412.29,7837.44,9556.62,3462.91,3555.32,Cryptocurrency,347,No,No,5,Very Satisfied,Yes,6,No,No
TRP100075,16-11-2021,2021,11,Autumn,Japan,Iceland,25-34,Female,Family,9,Leisure,Road Trip,9,3-Star Hotel,Online Travel Agency,Visa Free,Yes,Mediterranean,Beaches,1208.16,530.17,260.73,288.27,128.99,Bank Transfer,272,Yes,Yes,3,Neutral,Yes,6,Yes,Yes
TRP100076,02-05-2024,2024,5,Spring,Japan,Czech Republic,35-44,Male,Senior Group,1,Adventure,Flight,16,Airbnb/Vacation Rental,Tour Operator,Tourist Visa,Yes,Desert,Wildlife/Safari,2869.97,1266.03,1135.31,354.99,113.64,Credit Card,204,No,Yes,4,Satisfied,No,14,No,No
TRP100077,05-02-2024,2024,2,Winter,Saudi Arabia,France,55-64,Female,Couple,9,Medical,Train,4,Hostel,Direct Hotel,Tourist Visa,No,Mediterranean,Theme Parks,2874.45,1008.06,1108.65,431.9,325.84,Bank Transfer,132,No,Yes,1,Very Dissatisfied,No,5,Yes,No
TRP100078,26-01-2021,2021,1,Winter,Russia,Japan,35-44,Female,Solo,5,Religious,Train,15,Airbnb/Vacation Rental,Airline Website,E-Visa,No,Arctic/Cold,Beaches,8923.61,2934.26,1939.52,1788.19,2261.64,Cash,335,No,Yes,1,Very Dissatisfied,No,8,Yes,No
TRP100079,23-06-2021,2021,6,Summer,France,Egypt,45-54,Male,Senior Group,10,Medical,Road Trip,18,Boutique Hotel,Mobile App,Visa Free,No,Temperate,Mountains/Trekking,2368.8,852,919.4,367.48,229.92,Debit Card,349,No,No,5,Very Satisfied,Yes,8,Yes,Yes
TRP100080,05-09-2020,2020,9,Autumn,UAE,Mexico,45-54,Male,Couple,12,Business,Ferry,5,Camping,Online Travel Agency,Visa Free,No,Tropical,Theme Parks,1138.74,463.69,433.38,148.4,93.27,Debit Card,263,No,Yes,5,Very Satisfied,Yes,11,No,No
TRP100081,12-11-2022,2022,11,Autumn,Saudi Arabia,Kenya,18-24,Female,Solo,8,Medical,Flight,19,Hostel,Airline Website,Business Visa,Yes,Mountainous,Art & Museums,764.34,295.38,241.27,81.63,146.06,Cash,196,No,No,3,Neutral,Yes,2,Yes,No
TRP100082,05-06-2020,2020,6,Summer,Australia,Vietnam,18-24,Female,Family,8,Adventure,Ferry,9,Boutique Hotel,Tour Operator,Visa on Arrival,Yes,Mediterranean,Theme Parks,4155.84,954.42,1656.39,660.61,884.42,Cash,80,Yes,No,3,Neutral,No,2,Yes,No
TRP100083,19-07-2019,2019,7,Summer,China,Turkey,45-54,Male,Business Group,4,Leisure,Flight,5,3-Star Hotel,Tour Operator,E-Visa,Yes,Mountainous,Food & Cuisine,540.96,136.06,119.11,56.82,228.97,Cryptocurrency,307,No,No,5,Very Satisfied,Yes,15,Yes,No
TRP100084,18-12-2020,2020,12,Winter,Mexico,Switzerland,55-64,Female,Family,11,Religious,Train,3,Resort,Mobile App,Visa on Arrival,No,Mediterranean,Cities/Urban,496.76,133.52,154.66,93.76,114.82,Travel Card,95,No,Yes,4,Satisfied,No,5,No,Yes
TRP100085,10-05-2023,2023,5,Spring,Japan,Portugal,35-44,Female,Friends Group,6,Leisure,Flight,7,Airbnb/Vacation Rental,Online Travel Agency,E-Visa,No,Mountainous,Beaches,5045.4,1529.61,1429.37,905.64,1180.78,Credit Card,97,No,Yes,5,Very Satisfied,Yes,4,Yes,No
TRP100086,15-05-2024,2024,5,Spring,Thailand,Morocco,55-64,Female,Friends Group,4,Medical,Ferry,23,Resort,Travel Agent,Visa on Arrival,No,Temperate,Food & Cuisine,1735.78,439.07,413.12,366.63,516.96,Cash,134,No,No,2,Dissatisfied,No,13,No,No
